File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
3396edba-0d2a-4485-ad0a-5114b38c1abe	2e64abe2-6024-4d28-9e09-560ce2a9fd15.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-GM-A2DL	TCGA-GM-A2DL-01A	Tumor	Primary	Solid Tissue	Unknown
d2e2915c-125e-45c6-b7f3-6a815b3d2859	96a45a70-d4b5-4090-b603-73b7379679d6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A2QI	TCGA-AC-A2QI-01A	Tumor	Primary	Solid Tissue	Unknown
fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8	1d468785-141d-40ca-acb1-d6d85a8c9d7b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A06R	TCGA-A8-A06R-01A	Tumor	Primary	Unknown	Unknown
de5e449b-bc57-4836-89e4-73a3ba24abdf	748e4eaa-2b96-4dce-a903-c7df733d7f50.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-EW-A1PD	TCGA-EW-A1PD-01A	Tumor	Primary	Solid Tissue	OCT
a58e2ae3-a236-4209-8292-70465216cb85	e614fbb4-7574-4704-9525-c0aea4c10fc6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AO-A12D	TCGA-AO-A12D-01A	Tumor	Primary	Unknown	OCT
f7b5d569-1a46-4f23-bfca-a46daacda793	ad8c55ae-46df-43cd-8cb5-c049e3019959.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A24N	TCGA-AR-A24N-01A	Tumor	Primary	Solid Tissue	OCT
7af23ba7-e5bf-41b9-b91f-5709321dadb7	073939c1-c857-4340-8a5f-a7b87d2349c3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A24U	TCGA-AR-A24U-01A	Tumor	Primary	Solid Tissue	OCT
67eceef4-f870-47a0-82d8-b39aa3282bd3	8087339c-4fdc-42e4-94ff-299a59ae88a3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A1JU	TCGA-D8-A1JU-01A	Tumor	Primary	Unknown	Unknown
ecf9996e-0cba-4394-9f5a-51fceab1ac56	47bdf86d-922f-4615-b7dc-8b19a0cbcf60.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A0AD	TCGA-A8-A0AD-01A	Tumor	Primary	Solid Tissue	Unknown
11631339-f447-4b28-97a8-3c7c6ccbc843	97ec0a19-d386-48fc-842c-78488b0d41f3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A3DX	TCGA-E2-A3DX-01A	Tumor	Primary	Unknown	Unknown
456bc30b-59f8-4427-b798-5b113ca635a0	653ddf67-d2ac-4fc7-8e95-b4a078e27806.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A18J	TCGA-BH-A18J-11A	Normal	Not Applicable	Solid Tissue	OCT
c4afcca9-94e4-4ecd-98d1-0aab86de8685	7dfcf573-5004-4c46-a269-8a07e303f873.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0YL	TCGA-A2-A0YL-01A	Tumor	Primary	Solid Tissue	OCT
